setting,series,delta_Pagg_norm,ci_lower,ci_upper,source_status
COCO B/16,Full foils,0.0150,0.0131,0.0169,exact from Table 1
COCO B/32,Full foils,0.0108,0.00945,0.0122,exact from Table 1
VOC B/16,Full foils,0.0118,0.00677,0.0183,exact from Table 1
VOC B/32,Full foils,0.00867,0.00441,0.0143,exact from Table 1
COCO B/16,Cross-foil,0.01052,0.00901,0.01198,exact from Results text
COCO B/32,Cross-foil,0.00728,0.00629,0.00846,exact from Results text
VOC B/16,Cross-foil,0.00705,0.00296,0.01140,exact from Results text
VOC B/32,Cross-foil,0.00438,0.00131,0.00784,exact from Results text
COCO B/16,Absent-only,0.00939,,,point estimate exact; CI endpoints not printed in paper text
COCO B/32,Absent-only,0.00697,,,point estimate exact; CI endpoints not printed in paper text
VOC B/16,Absent-only,0.00809,,,point estimate exact; CI endpoints not printed in paper text
VOC B/32,Absent-only,0.00443,,,point estimate exact; CI endpoints not printed in paper text
